nama,barang,ulasan
Amelia,Varian: Merah Muda - iP 12 atau Pro,"bagus warna pinknya, pengirimannya cepat"
pastr,Varian: Putih - iP 12 Mini,"Bahan nya bagus, modelnya keren"
Aang,Varian: Putih - iP 12 atau Pro,Awet
A***r,Varian: Putih - iP 12 Mini,"Mantul, mantap betul. Barang bagus OK sangat memuaskan 👌🏼"
W***m,Varian: Biru - iP 12 atau Pro,Keren
Victor,Varian: Biru - iP 12 Mini,"Barang mantep, harga murah, packing yahud"
Hardiyan,Varian: Merah Muda - iP 12 atau Pro,Cute
Septo,Varian: Hitam - iP 12 Pro Max,"Barang sudah sampai, tapi ada ngangkat case bagian atas nya tp overall oke, 
Thangs buat toko 🙏👍"
G***h,Varian: Hitam - iP 12 atau Pro,Bagus bgt bener2 di luar ekspektasi dengan harga segini bisa dapet sebagus ini
Dini,Varian: Hitam - iP 12 atau Pro,Bagus banget silicon nya 🙏🏼
Yenny,Varian: Merah Muda - iP 12 atau Pro,"bagus, kokoh, presisi, langsung dipakai. seller rekomended."
C***y,Varian: Hitam - iP 12 Mini,kualitas case oke banget 👍🏼
A***m,Varian: Hitam - iP 12 atau Pro,keren bahan nya
Ipan,Varian: Tosca - iP 12 Pro Max,Recomended
R***a,Varian: Putih - iP 12 atau Pro,"Diterima sesuai pesanan, presisi, proteksi handphone mantap."
M***i,Varian: Biru - iP 12 Mini,"Fast response, packing rapi, produk sesuai 👍"
Muh,Varian: Kuning - iP 12 Pro Max,Suka banget sama paketnya
Ilman,Varian: Putih - iP 12 Pro Max,Baguuuuussssss
S***a,Varian: Biru - iP 12 atau Pro,ini sih bagus bgt dgn harga segini🙏🏻 thankyou ya kak!!
Zefrisal,Varian: Putih - iP 12 Mini,"produk bagus, presisi di tombol dan lubang, potongan rapi, mantab di genggam"
D***i,Varian: Hitam - iP 12 Pro Max,"Bagus, fit ukurannya"
Septo,Varian: Biru - iP 12 Pro Max,Manstap case nyaaa 👍👍👍👍👍👍
Andi,Varian: Putih - iP 12 Mini,"Bahan bagus, finishing halus ga ada bekas potongan2.

Untuk yg white ada textureny, yg hitam lebih smooth"
Lie,Varian: Putih - iP 12 Pro Max,Sangat bagus. Ori sudah beli bbrpa kali disini. Recommended 👍👍. Terima kasih Seller n Tokped
Fajar,Varian: Hitam - iP 12 atau Pro,Terimakasih banyak
Wino,Varian: Putih - iP 12 Mini,Baguss suka warnanyaa!
Leonardo,Varian: Hitam - iP 12 atau Pro,"sdikit renggang dibagian atas,mngkin karna packinganya apa apadanya,selebihnya oke,keren"
